0, 1
1, 2
2, 3
3, 4
4, 5
5, 6
6, 7
7, 8
8, 9
9, 10
10, 11
11, 12
12, 13
13, 14
14, 15
15, 16
16, 17
17, 18
18, 19
19, 20
20, 21
21, 22
22, 23
23, 24
24, 25
25, 26
26, 27
27, 28
28, 29
29, 30
30, 31
31, 32
32, 33
33, 34
34, 35
35, 36
36, 37
37, 38
38, 39
39, 40
40, 41
41, 42
42, 43
43, 44
44, 45
45, 46
46, 47
47, 48
48, 49
49, 50
50, 51
51, 52
52, 53
53, 54
54, 55
55, 56
0, 2
2, 4
4, 6
6, 8
7, 9
9, 11
10, 12
12, 14
13, 15
14, 16
15, 17
16, 18
17, 19
20, 22
22, 24
24, 26
25, 27
27, 29
28, 30
29, 31
31, 33
32, 34
33, 35
34, 36
35, 37
37, 39
39, 41
40, 42
41, 43
43, 45
46, 48
48, 50
49, 51
51, 53
52, 54
54, 56
6, 9
9, 12
12, 15
13, 16
14, 17
15, 18
16, 19
24, 27
27, 30
28, 31
31, 34
32, 35
33, 36
34, 37
39, 42
40, 43
43, 46
48, 51
51, 54
2, 6
12, 16
13, 17
14, 18
15, 19
27, 31
31, 35
32, 36
33, 37
39, 43
12, 17
13, 18
14, 19
31, 36
32, 37
43, 48
6, 12
12, 18
13, 19
31, 37
48, 54
12, 19
12, 20
31, 39
39, 48
12, 22
12, 24
12, 27
39, 54
12, 31
31, 54
