('444', 5.4212474325341145)
('888', 6.003280619966077)
('1332', 6.470316296762578)
('1776', 6.884486740261388)
('2220', 7.201813169636513)
('2664', 7.472017266985348)
('3108', 7.813153675078361)
('3552', 8.079945758205403)
('3996', 8.38429643661183)
